ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
000061.SZ,20171130,7.69,0.1073,0.1629,,147.5212,,2.7195,6.46,5.7362,169696.4131,169040.2281,111376.0018,1304965.4167,1299919.3541
002082.SZ,20171130,14.32,2.5579,3.1836,,48.8726,46.3004,2.4628,0.3711,0.2599,23800.0,22867.2026,18372.8666,340816.0,327458.3412
601100.SH,20171130,25.12,0.71,2.4448,,224.9494,51.7888,4.2293,11.5507,6.5142,63000.0,63000.0,18297.1202,1582560.0,1582560.0
300508.SZ,20171130,73.08,2.9597,2.9597,,93.5999,53.0844,8.3105,28.8217,21.6773,5682.0,1479.0314,1479.0314,415240.56,108087.6147
300333.SZ,20171130,9.22,0.6899,0.9877,,162.1725,134.9812,3.5958,16.1714,14.2654,33600.0,33089.5068,23110.6131,309792.0,305085.2527
600006.SH,20171130,5.78,0.424,1.0626,,52.8205,108.0278,1.7664,0.7217,0.6236,200000.0,200000.0,79800.0,1156000.0,1156000.0
002668.SZ,20171130,18.99,0.374,0.581,,39.5871,36.1968,3.5898,2.3937,1.9279,63547.0225,39040.3892,25131.955,1206757.9573,741376.9909
601099.SH,20171130,3.76,0.5852,0.6384,,38.3833,54.9815,2.1891,14.2072,15.343,681631.637,647881.637,593833.1795,2562934.9551,2436034.9551
600526.SH,20171130,10.02,1.0959,1.4373,,123.4481,159.1056,2.1507,1.4867,1.3435,54740.4672,40688.945,31026.1974,548499.4813,407703.2289
002378.SZ,20171130,9.91,1.0263,3.4904,,194.3626,153.7609,4.6949,6.9838,4.9902,92416.7436,92324.1956,27146.6416,915849.9291,914932.7784
002035.SZ,20171130,27.35,0.5084,0.6351,,48.5806,36.327,8.1292,3.6203,2.9687,58176.2083,51891.9416,41544.6832,1591119.297,1419244.6028
603639.SH,20171130,47.86,2.1841,2.1841,,39.2694,28.9019,3.7767,5.6001,4.3787,12000.0,3000.0,3000.0,574320.0,143580.0
600130.SH,20171130,5.47,2.8803,3.4453,,136.3614,,4.5524,1.3169,2.1277,76800.0,76800.0,64205.36,420096.0,420096.0
000692.SZ,20171130,5.02,0.308,0.4747,,50.8467,,2.0965,1.4617,1.5516,53283.2976,53278.588,34573.5762,267482.154,267458.5118
300596.SZ,20171130,19.25,2.9092,2.9092,,38.2545,31.3538,3.9846,4.2867,3.1811,18000.0,4500.0,4500.0,346500.0,86625.0
000587.SZ,20171130,6.47,1.9605,2.8288,,13.2467,12.8927,1.4984,1.3007,1.3219,212374.933,115223.2524,79854.5764,1374065.8165,745494.443
600356.SH,20171130,8.49,0.4385,0.6411,,26.7902,24.3621,1.2369,1.8642,1.7596,29873.1378,29873.1378,20431.8682,253622.9399,253622.9399
600498.SH,20171130,30.69,0.9927,1.9035,,44.957,41.3737,3.6799,1.9692,1.6753,111393.8974,101848.2666,53118.236,3418678.7112,3125723.302
603886.SH,20171130,20.23,1.5552,1.5552,,38.8571,27.9131,4.0132,3.0504,2.9193,24000.0,6000.0,6000.0,485520.0,121380.0
600763.SH,20171130,29.71,0.878,1.4955,,69.961,49.0087,9.9443,10.8405,8.5881,32064.0,32064.0,18824.4,952621.44,952621.44
603000.SH,20171130,12.15,0.2815,0.655,,126.7337,285.8324,4.9423,9.3827,9.3638,110569.1056,110569.1056,47524.0856,1343414.633,1343414.633
300095.SZ,20171130,8.28,0.4627,0.5772,,67.5399,61.6916,2.4562,5.2759,5.0885,37871.0854,22802.1,18279.32,313572.5871,188801.388
603320.SH,20171130,29.64,17.3966,17.3966,,64.5903,52.1116,5.086,5.7945,4.7269,10000.0,2500.0,2500.0,296400.0,74100.0
300471.SZ,20171130,13.74,0.6846,0.8858,,30.4328,35.6074,2.9184,3.914,4.0759,37061.4,21913.1125,16935.6125,509223.636,301086.1658
300516.SZ,20171130,50.31,0.4017,0.6307,,42.8377,51.7757,5.2452,12.7583,14.5508,12000.0,4710.0,3000.0,603720.0,236960.1
300184.SZ,20171130,11.72,0.8664,0.9798,,162.9193,27.6869,1.8546,4.8433,1.1816,65819.7404,30142.4254,26653.8287,771407.3575,353269.2257
