ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
002180.SZ,20111230,11.48,2.4837,3.4714,,52.8258,63.5686,4.0223,9.9488,9.3552,12498.3,8017.3643,5736.1888,143480.484,92039.3422
002181.SZ,20111230,10.93,1.6932,1.6932,,229.7246,267.3178,3.1723,11.3035,11.2506,35016.1864,21802.3776,21802.3776,382726.9174,238299.9872
002182.SZ,20111230,10.39,4.0702,4.5363,,106.1302,146.9783,3.2973,1.0532,0.8551,28800.0,21143.9781,18971.2559,299232.0,219685.9325
002183.SZ,20111230,4.62,0.2487,0.6506,,29.3739,28.2192,2.9774,0.6379,0.5367,83412.6241,83412.6241,31878.0071,385366.3233,385366.3233
600323.SH,20111230,8.42,0.7682,1.0707,,4.907,16.5711,1.7194,4.6008,3.8864,32528.2103,32510.7649,23325.4923,273887.5307,273740.6405
600325.SH,20111230,7.23,0.6893,0.9175,,7.8574,8.2303,1.0295,1.0055,0.9553,81704.562,81704.562,61385.3532,590723.9833,590723.9833
600326.SH,20111230,8.31,0.9516,1.4632,,60.9371,46.2447,4.039,4.021,3.3925,54720.0,54720.0,35588.3919,454723.2,454723.2
600300.SH,20111230,3.85,0.5761,1.3478,,42.7869,44.7803,2.6401,1.3514,1.2021,167200.0,167200.0,71467.2857,643720.0,643720.0
600301.SH,20111230,3.86,0.5176,0.7612,,77.5347,7.8641,2.5509,0.8314,0.763,23514.814,23514.814,15990.0082,90767.182,90767.182
600302.SH,20111230,5.74,1.8093,3.4209,,84.5255,104.607,1.5694,1.9919,1.9313,34600.9804,34600.9804,18300.2374,198609.6275,198609.6275
600303.SH,20111230,7.0,1.1388,1.4352,,16.5641,17.4451,1.8334,0.6583,0.5628,57450.5996,57450.5996,45585.8502,402154.1972,402154.1972
600305.SH,20111230,9.93,0.3197,0.6651,,39.6527,68.8013,3.0329,1.099,0.9878,12715.0,12715.0,6110.737,126259.95,126259.95
600814.SH,20111230,5.9,1.4173,2.0029,,26.0653,22.7238,2.5678,0.9233,0.8438,31038.3021,31038.3021,21962.2596,183125.9824,183125.9824
600815.SH,20111230,8.12,0.7996,1.742,,10.3119,9.8091,1.6297,0.6128,0.5054,77970.9588,77970.9588,35790.7363,633124.1855,633124.1855
600816.SH,20111230,13.45,1.0309,1.5381,,65.9133,53.9656,14.3248,20.0693,15.967,45410.9778,45384.9778,30417.9106,610777.6514,610427.9514
600818.SH,20111230,9.09,0.2056,0.4597,,114.9388,145.9972,7.3845,4.2014,3.9581,29222.5373,21632.5373,9676.316,265632.8641,196639.7641
600819.SH,20111230,9.5,0.1433,0.8453,,35.7794,43.441,3.3189,2.5867,2.5957,73125.0082,54375.008,9218.2029,694687.5779,516562.576
601919.SH,20111230,4.68,0.3578,1.2366,,7.0718,,1.1827,0.5934,0.6524,1021627.4357,747595.029,216286.7446,4781216.3991,3498744.7357
601928.SH,20111230,8.36,28.1793,28.1793,,32.1357,32.1357,2.5707,3.9348,3.9348,254490.0,27995.0,27995.0,2127536.4,234038.2
601933.SH,20111230,30.15,0.3719,1.1389,,75.7757,49.6754,5.6162,1.8798,1.4427,76790.0,49403.471,16134.9747,2315218.5,1489514.6507
601939.SH,20111230,4.54,0.7097,0.7219,,8.4175,6.9483,1.4673,3.5088,2.9494,25001097.7486,959365.7606,943139.346,113504983.7786,4355520.5531
601958.SH,20111230,11.38,0.1789,0.6909,,43.9417,47.3084,2.7799,5.1989,4.8439,322660.44,322595.8811,83521.5611,3671875.8072,3671141.1269
601988.SH,20111230,2.92,0.0151,0.4227,,7.8062,6.7101,1.1744,2.9446,2.5498,27914732.3552,19552504.7157,696818.5479,81511018.4772,57093313.7698
601989.SH,20111230,5.11,0.7436,0.7436,,46.8742,15.846,1.9179,3.6611,1.5823,1466770.6496,340000.0,340000.0,7495198.0195,1737400.0
601991.SH,20111230,5.16,0.1136,0.8405,,27.7642,32.9232,1.8026,1.132,1.0029,1331003.7578,899436.0,121550.8387,6867979.3902,4641089.76
601992.SH,20111230,8.41,3.5285,3.5285,,13.3332,9.6158,1.8875,1.5573,1.26,428373.706,31612.8,31612.8,3602622.8675,265863.648
